Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.486572,0.01416,0.881958,0.549316,-0.12207,-0.061035
0.489624,0.012085,0.890381,0.488281,-0.244141,-0.183105
0.490112,0.01123,0.889526,0.366211,-0.061035,-0.061035
0.489624,0.011597,0.888916,0.305176,0.061035,-0.061035
0.489868,0.012207,0.888184,0.366211,0,-0.061035
0.48938,0.013306,0.889282,0.427246,-0.12207,-0.061035
0.489624,0.011841,0.888794,0.488281,-0.183105,-0.061035
0.488647,0.012573,0.888916,0.427246,-0.061035,-0.12207
0.487549,0.012939,0.889771,0.366211,0,-0.12207
0.488403,0.013062,0.88916,0.366211,0.061035,-0.061035
0.489136,0.01416,0.886719,0.488281,-0.061035,-0.061035
0.490112,0.012329,0.88855,0.488281,-0.183105,-0.12207
0.490356,0.01123,0.889771,0.488281,-0.183105,-0.12207
0.48938,0.011475,0.890015,0.427246,0,0
0.488647,0.013428,0.887085,0.366211,0.12207,0
0.489258,0.01416,0.887695,0.427246,0,-0.12207
0.489136,0.013184,0.890015,0.488281,-0.12207,-0.061035
0.487915,0.014648,0.890259,0.427246,-0.061035,-0.12207
0.489258,0.013428,0.88916,0.427246,-0.061035,-0.12207
0.48938,0.012451,0.88855,0.488281,-0.061035,-0.12207
0.489746,0.012207,0.889038,0.427246,-0.061035,-0.12207
0.490601,0.012939,0.88916,0.427246,-0.061035,-0.061035
0.490112,0.012207,0.888672,0.427246,-0.061035,-0.12207
0.487793,0.012329,0.890137,0.427246,-0.061035,-0.12207
0.488281,0.012695,0.889771,0.366211,-0.061035,-0.061035
0.489502,0.013306,0.889282,0.427246,-0.061035,-0.061035
0.490601,0.012451,0.888306,0.366211,-0.12207,-0.061035
0.489502,0.013306,0.889526,0.366211,-0.12207,-0.12207
0.48938,0.012451,0.891113,0.427246,-0.061035,-0.12207
0.489136,0.011108,0.889648,0.366211,0.061035,0
0.48877,0.012085,0.889404,0.366211,0.061035,0
0.486694,0.011597,0.891968,0.305176,-0.061035,-0.12207
0.488647,0.01355,0.888916,0.244141,0.061035,0
0.489746,0.012817,0.887695,0.305176,0,0
0.488525,0.01062,0.890869,0.305176,0.061035,-0.12207
0.489014,0.009644,0.892578,0.061035,0.244141,0
0.490356,0.011108,0.887695,-0.244141,0.366211,0.12207
0.489136,0.010986,0.889648,-0.061035,0.183105,0
0.487793,0.008301,0.894165,-0.12207,0.183105,0
0.491211,0.020386,0.882202,-0.427246,0.793457,0.366211
0.491699,0.022217,0.882324,0.061035,0.061035,-0.061035
0.490356,0.020508,0.881714,0.244141,-0.061035,-0.061035
0.488403,0.01709,0.887329,0.305176,-0.366211,-0.12207
0.489258,0.014526,0.889648,0.488281,0.183105,-0.12207
0.488159,0.013428,0.892944,0.12207,0.244141,0
0.487793,0.018311,0.884766,0.244141,0.244141,0.061035
0.488647,0.012939,0.891113,0.610352,-0.610352,-0.305176
0.491699,0.014282,0.888672,0.244141,0.183105,0.12207
0.493042,0.011841,0.887207,0.427246,-0.305176,-0.183105
0.491943,0.013428,0.887573,0.244141,0.305176,0.061035
0.490723,0.014404,0.887817,0.427246,-0.12207,-0.183105
0.488525,0.014526,0.890259,0.305176,0.12207,0
0.486572,0.015869,0.890381,0.427246,-0.183105,-0.183105
0.489136,0.01416,0.890503,0.305176,0.061035,-0.061035
0.49353,0.01355,0.886353,0.305176,-0.061035,-0.061035
0.495605,0.012817,0.88501,0.427246,0,-0.061035
0.493652,0.01123,0.888916,0.366211,-0.061035,-0.12207
0.490967,0.014648,0.890015,0.305176,0.12207,0
0.487305,0.015869,0.889771,0.366211,0.061035,-0.061035
0.486572,0.017334,0.889648,0.366211,0.12207,-0.061035
0.487183,0.016968,0.88916,0.427246,-0.244141,-0.12207
0.489258,0.015259,0.88916,0.488281,-0.061035,-0.12207
0.491211,0.011719,0.88855,0.427246,-0.244141,-0.061035
0.493286,0.01416,0.885498,0.183105,0.366211,0.12207
0.493408,0.014282,0.885254,0.366211,0.061035,-0.061035
0.48999,0.012329,0.890137,0.427246,-0.061035,-0.12207
0.488403,0.015625,0.887695,0.305176,0,0
0.489136,0.015015,0.890381,0.366211,-0.061035,-0.061035
0.488281,0.017212,0.891602,0.366211,-0.061035,-0.061035
0.493652,0.016235,0.802612,-4.211426,2.624511,-1.098633
0.483765,-0.010986,1.038696,2.685547,-13.671874,-1.220703
0.490234,-0.068359,0.86438,0.915527,12.939452,10.559081
0.481812,0.040161,1.018066,3.723144,12.878417,26.18408
0.481445,-0.027588,0.9823,-33.935547,44.860836,27.9541
0.446289,-0.013428,0.865967,-42.907711,62.255856,40.771481
0.466675,0.112671,0.866455,-30.151365,52.551266,49.499508
0.53894,0.156982,0.983032,-42.114254,49.682613,30.761717
0.518433,0.032104,1.185913,-87.646477,93.200676,25.268553
0.495972,0.223877,1.214355,-120.483391,211.364731,54.565426
0.622314,0.368652,0.922485,-148.31543,320.678711,104.431145
0.391113,0.567627,1.102295,-156.494141,357.665985,176.025375
0.490234,0.788696,1.020508,-138.549805,463.500946,178.771957
0.737183,0.926636,0.536621,-127.624504,556.396484,135.742187
0.687866,0.796509,0.068604,0.488281,594.787598,99.792473
0.582153,0.70874,-0.067749,47.790524,568.17627,109.924309
0.596313,0.605347,-0.382935,55.908199,410.156219,127.746574
0.388062,0.776001,0.112305,64.51416,202.575668,163.818344
0.140503,0.586182,-0.064453,132.69043,225.341782,72.875977
0.276123,0.281982,-0.871582,133.972168,320.007324,-39.733887
0.661377,0.327271,-1.413208,99.304192,239.624008,-65.612793
1.294556,0.865234,-1.734131,85.083,26.611326,-107.666008
1.516357,1.24646,-1.08313,100.097649,-218.017563,-212.097153
